,category,Label,Category
173,Buddha Statue Sculptors in Yangon,56,Religion
174,Building Demolition Contractors in Yangon,41,Construction
175,Building Maintenance Services in Yangon,56,Construction
176,Building Materials in Yangon,56,Construction
177,Bullock Carts in Yangon,56,Transport
178,Buses [Highway] in Yangon,41,Transport
179,Buses [Highway] Ticketing Services in Yangon,41,Transport
180,Business & Trade Organisations in Yangon,56,Organization
181,Business Centres in Yangon,56,Finance
182,Business Management Training Centres in Yangon,8,Education
183,Butter in Yangon,41,Food
184,Buttons & Sequins [Manu/Dist] in Yangon,41,Equipment & Supplies
185,Cables & Wires [Manu/Dist] in Yangon,41,Construction
186,Cafí©s in Yangon,56,Service
187,Calculators in Yangon,56,Equipment & Supplies
188,Calendars & Posters in Yangon,56,Service
189,Calibration Services in Yangon,56,Service
190,Call Centres in Yangon,56,Telecommunication
191,Camera Sales & Repair in Yangon,56,Sales & Repair
192,Can Making & Canned Foods in Yangon,56,Food
193,Candies in Yangon,56,Food
194,Candles [Manu/Dist] in Yangon,56,Equipment & Supplies
195,Car & Motorcycle Tubes Repair in Yangon,56,Automotive
196,Car & Truck Dealers [New] in Yangon,56,Automotive
197,Car & Truck Dealers & Importers in Yangon,12,Automotive
198,Car & Truck Rentals in Yangon,74,Service
199,Car Aircons in Yangon,22,Automotive
200,Car Auction & Bidding Centres in Yangon,24,Automotive
201,Car Axle Workshops in Yangon,28,Automotive
202,Car Batteries & Accessories Sales & Services in Yangon,28,Automotive
203,Car Body Equipment [Bumper/Shell etc.] in Yangon,28,Automotive
204,Car Body Workshops in Yangon,16,Automotive
205,Car Brakes & Clutches Spares & Services in Yangon,39,Automotive
206,Car Cassettes & Audio in Yangon,39,Automotive
207,Car CNG Converting in Yangon,98,Automotive
208,Car Cushions & Roofs in Yangon,2,Automotive
209,Car Decorating Supplies & Services in Yangon,27,Automotive
210,Car Doors & Liner Sales & Services in Yangon,22,Automotive
211,Car Dynamos/Motors & Cut-out Repair in Yangon,85,Automotive
212,Car Engine Belts in Yangon,85,Automotive
213,Car Engine Dealers in Yangon,30,Automotive
214,Car Engine Oil & Lubricants in Yangon,15,Automotive
215,Car Engine Repair in Yangon,22,Automotive
216,Car Exhaust in Yangon,67,Automotive
217,Car Keys [Assorted] in Yangon,24,Automotive
218,Car Lighting Equipment & Repair in Yangon,8,Automotive
219,Car Manufacturers in Yangon,58,Automotive
220,Car On-Board Diagnosis II Training [OBDII Training] in Yangon,62,Education
221,Car Paint Shops in Yangon,74,Automotive
222,Car Painting Services in Yangon,77,Automotive
223,Car Parking Services in Yangon,96,Automotive
224,Car Parking Systems & Equipment in Yangon,73,Automotive
