contact,name,township,street,state,Category
" 09425016416, 09793270103",Dong Guan Jelly Colothig & Emboridery & Garment Accessories,Mingalar Taung Nyunt,"Bldg 37, Rm 004, Aung Thapyay St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 095190479, 09798430747, 095190483",Doe Kalay,Mingalar Taung Nyunt,"Rm 103, G Flr, Shwe Mingalar Market, Entrance (1),",Yangon Region,Apparel
 09262222955,Cho Cho,Mingalar Taung Nyunt,"Rm 578/620, 4th Flr, Shwe Mingalar Market, Car Parking (2),",Yangon Region,Apparel
" 095167048, 09250515080, 0943084395, 01221989, 01370622 Ext.260",Galon Min,Pabedan,"B Shed, Rm 302, Thein Gyi Market,",Yangon Region,Apparel
" 01297073, 09250144326, 09254350869, 0932052582, 09972453067",Colour Sky,Botahtaung,"70, 48th St., Upper Middle Block,",Yangon Region,Apparel
" 09252608288, 09257761688","China and Myanmar Sunshine Trading Co.,Ltd.",Mingalar Taung Nyunt,"Bldg 11, Rm 001, Aung Thapyay St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01200747 Ext.7127, 095047682, 095021261",Khaing Sandar Aung,Mingalar Taung Nyunt,"Bldg 12, Rm 007, Sabei St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01206294, 01200747 Ext.1323, 095042893",Kaday Kywel,Mingalar Taung Nyunt,"Rm SP-3/5/7, G Flr, Yuzana Plaza,",Yangon Region,Apparel
" 0932073028, 095232919, 0949222085","Kai Run Cloth Trading Co.,Ltd.",Mingalar Taung Nyunt,"Bldg 10, Rm 6, Gandamar 6th St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01202978, 09773522578",Indar Aung,Mingalar Taung Nyunt,"12, Rm 2, Hnin Si St., Tha Pyay Gone Ward,",Yangon Region,Apparel
" 098633561, 095105170",Image,Dagon,"Rm 3019, 2nd Flr, Taw Win Centre,",Yangon Region,Apparel
" 018619462, 018619463","Htet Min Thar Co.,Ltd.",Mingalar Taung Nyunt,"Bldg 14, Rm 001, Sabei St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 095192252, 01635427, 098623602",Hlaing Yadanar,Mingalardon,"Rm 56, Mingalardon Zay St., Mingalardon Zay Ward,",Yangon Region,Apparel
" 09777911129, 09261137771, 09261137772, 09261131112","Htet Min Thar Co.,Ltd.",Mingalar Taung Nyunt,"Bldg 5, Rm 001, Aung Thapyay St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 0973087755, 095140728",Htay Htay Myint [Daw],Mingalar Taung Nyunt,"Rm 109, G Flr, Shwe Mingalar Market, Entrance (1),",Yangon Region,Apparel
" 09448013008, 01370622 Ext.174",Kyaw Kyar,Pabedan,"B Shed, Rm 122/124, Thein Gyi Market,",Yangon Region,Apparel
" 095128865, 0973120604",Kyal Sin Lin,Mingalar Taung Nyunt,"50, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
" 095054288, 018619513, 01200747 Ext.1788, 0931552005",Korea,Mingalar Taung Nyunt,"Rm SP-9/11/15, G Flr, Yuzana Plaza,",Yangon Region,Apparel
" 01242775 Ext.2047, 01240600 Ext.4370",Khin Maung Win [Ko],Latha,"D Shed, Rm B/187/189/190, G Flr, Thein Gyi Market,",Yangon Region,Apparel
" 09421003070, 09255903650",Khant Paing,Mingalar Taung Nyunt,"Rm A-39, G Flr, Yuzana Plaza,",Yangon Region,Apparel
" 095506026, 095070232",Khar Kar Bo,Pabedan,"Super World 4 Shed, Rm 36/37/38/39/40, 1st Flr, Bogyoke Aung San Market,",Yangon Region,Apparel
" 0943085207, 01370622 Ext.490, 01387088 [Res]",Khin Maung [U] & Sons,Pabedan,"B Shed, Rm 91, Thein Gyi Market,",Yangon Region,Apparel
" 0973029304, 095134079, 098500524, 01370622 Ext.403",Kabar Lone,Pabedan,"B Shed, Rm 133, Thein Gyi Market,",Yangon Region,Apparel
" 095051291, 095181521, 0973240122",Kue Mar [Ko],Pabedan,"B Shed, Rm 226, Thein Gyi Market,",Yangon Region,Apparel
" 01200747 Ext.1097, 095110578, 01203667",Lucky One,Mingalar Taung Nyunt,"Rm D-29/30, G Flr, Yuzana Plaza,",Yangon Region,Apparel
" 095164564, 095178972, 095179382, 095103694, 019000857",Lin Htet,Mingalar Taung Nyunt,"44, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
" 095106021, 0973054822",Khaing Thazin,Mingalar Taung Nyunt,"Rm 223/224/237/238/G/3, G Flr, Mingalar Mon Market,",Yangon Region,Apparel
" 095103694, 095179382, 095178972, 019000857",Lin Htet,Mingalar Taung Nyunt,"16, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
" 0943160969, 09788688742",Kyi Phyu Aung,Mingalar Taung Nyunt,"Rm 102/G/2, G Flr, Mingalar Mon Market,",Yangon Region,Apparel
 0943117640,Kyawt Kyawt,Mingalar Taung Nyunt,"Rm 254/G/3, G Flr, Mingalar Mon Market,",Yangon Region,Apparel
" 01205912, 095158775",Kyaw Min Tun [Ko],Mingalar Taung Nyunt,"Rm 723/724,1st Flr,Mingalar Market",Yangon Region,Apparel
 095158775,Kyaw Min Tun [Ko],Mingalar Taung Nyunt,"Rm 291/G/4, G Flr, Mingalar Mon Market,",Yangon Region,Apparel
 095213643,Kimono House,Mingalar Taung Nyunt,"Rm A-22, 2nd Flr, Yuzana Plaza,",Yangon Region,Apparel
" 095045546, 09975521555, 09425025151",Kyaw Kyaw [U],Mingalar Taung Nyunt,"31, 118th St., Yae Twin Gone Ward,",Yangon Region,Apparel
" 01370622 Ext.441, 0973160316",Myint Myint [Daw],Pabedan,"B Shed,Rm 252,Thein Gyi Market",Yangon Region,Apparel
" 01370622 Ext.720, 01299005 [Res]",Kyi [Daw],Pabedan,"B Shed, Rm 134, Thein Gyi Market,",Yangon Region,Apparel
 095014117,Lucky,Pabedan,"B Shed, Rm 54/57/58/59, Thein Gyi Market,",Yangon Region,Apparel
" 0973208024, 01540293 [Res]",Myint Myint Sann,Mingalar Taung Nyunt,"Rm 136, 1st Flr, Shwe Mingalar Market,",Yangon Region,Apparel
" 0973204761, 01252171",Maung Myint [U],Pabedan,"B Shed, Rm 312, Thein Gyi Market,",Yangon Region,Apparel
" 095411550, 09250278828, 09250009099",Mee Mee [Ma],Mingalar Taung Nyunt,"Rm 144, G Flr, Shwe Mingalar Market, Entrance (8),",Yangon Region,Apparel
" 01296120, 01205318",Maung Hein [U],Mingalar Taung Nyunt,"11, 106th St., Mingalar Taung Nyunt Ward,",Yangon Region,Apparel
" 01241219, 01253977",Mantops,Pabedan,"West Wing Shed, Rm 124/125, Bogyoke Aung San Market,",Yangon Region,Apparel
" 095406122, 0949002493",Lucky Soe Win,Mingalar Taung Nyunt,"19, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
" 01200677, 09450555527, 09401652717",Lucky Seven,Mingalar Taung Nyunt,"51/B, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
" 09401652717, 09450555527",Lucky Seven,Mingalar Taung Nyunt,"58/B, 123th St., Tha Pyay Gone Ward,",Yangon Region,Apparel
" 01203667, 01202363, 018619344",Lucky One,Mingalar Taung Nyunt,"Bldg 11, Rm 002, Padauk St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 09791064620, 09260032828","NTC Interlining Co.,Ltd.",Mingalar Taung Nyunt,"Bldg 11, Rm 1, Aung Thapyay St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01660410, 01661305, 01653238, 01660410",No [1] Textile Factory [Branch] [Mayangone],Mayangone,"Yangon-Insein Rd.,Ward (3)",Yangon Region,Apparel
" 095144853, 09785144853",Ngwe Tun,Mingalar Taung Nyunt,"Rm 332~334/G/4, G Flr, Mingalar Mon Market,",Yangon Region,Apparel
" 01200747 Ext.1971, 01540369 [Res], 09974494404, 095038369, 0973058156",Ngwe Chan Thar,Mingalar Taung Nyunt,"Rm I/J/K-41, G Flr, Yuzana Plaza,",Yangon Region,Apparel
" 095174461, 09250014083, 09975264257","New Multi Trading Co.,Ltd.",Mingalar Taung Nyunt,"49, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
" 095157335, 0973048577, 095055007",Nay Yaung,Pabedan,"Super World 4 Shed, Rm 8/9/10/41/50/51, 1st Flr, Bogyoke Aung San Market,",Yangon Region,Apparel
" 01205765, 01291076, 01380924 [Res]",New Fashion New,Mingalar Taung Nyunt,"54/55, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
" 0973007086, 0930328168",Myo Naing [U],Mingalar Taung Nyunt,"Rm 107, Taw Win Plaza,",Yangon Region,Apparel
" 095076593, 0973068494",Nay Win See Sar,Mingalar Taung Nyunt,"45/A, 119th St., Yae Twin Gone Ward,",Yangon Region,Apparel
" 09777251621, 09777251622, 095010846, 095114376",Myo Myint Myat,Mingalar Taung Nyunt,"Rm K-24, G Flr, Yuzana Plaza,",Yangon Region,Apparel
" 09450017811, 01371822 Ext.480, 01221492 [Res]",Pyae Phyo,Pabedan,"B Shed, Rm 221, Thein Gyi Market,",Yangon Region,Apparel
" 01618165, 01512829, 01521023, 095108992, 095101497, 09977828230, 09977828232",Princess Textile Factory,Shwe Pyi Thar,"241, No.(4) Main Rd., Industrial Zone (3),",Yangon Region,Apparel
" 01298609, 01298668, 01228454 [Res], 095019296, 095106456",Phoo Pwint Tun,Mingalar Taung Nyunt,"Rm 7/8/9/29/30/43/66/67,G Flr,Mingalar Market",Yangon Region,Apparel
" 01205317, 09977828214",Princess Textile,Mingalar Taung Nyunt,"Bldg 18, Rm 001, Aung Thapyay St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01200205, 095045390, 0973245334",Phyo [Ko],Tarmwe,"308, Banyar Dala Rd., Kyauk Myaung Gyi Ward,",Yangon Region,Apparel
" 095019296, 09263922112",Phoo Pwint Tun,Mingalar Taung Nyunt,"Rm 175, G Flr, Shwe Mingalar Market,",Yangon Region,Apparel
" 01203306, 095181047, 095180857",Nway Oo,Mingalar Taung Nyunt,"11/14,120th St.,Yae Twin Gone Ward",Yangon Region,Apparel
" 095019296, 09263922112",Phoo Pwint Tun,Mingalar Taung Nyunt,"Rm 149, 2nd Flr, Shwe Mingalar Market,",Yangon Region,Apparel
" 09250492736, 095013116",Po Po Sein,Mingalar Taung Nyunt,"Rm 170/G/3, G Flr, Mingalar Mon Market,",Yangon Region,Apparel
" 095418288, 09784377233",Pe Kyaw,Mingalar Taung Nyunt,"Rm 155, G Flr, Shwe Mingalar Market,",Yangon Region,Apparel
" 01240600 Ext.4667, 09425303545",Shwe Family,Latha,"D Shed, Rm C/155, G Flr, Thein Gyi Market,",Yangon Region,Apparel
" 09778105043, 095102024",Sein Tayzar,Mingalar Taung Nyunt,"Rm 296/G/4, G Flr, Mingalar Mon Market,",Yangon Region,Apparel
" 01296440, 01294277, 0973239850, 01511038 [Res]",Pyone [Ma],Mingalar Taung Nyunt,"Bldg 18, Rm 005, Sabei St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 0973240260, 0943024087, 01370622 Ext.498, 01371822",Shumawa,Pabedan,"B Shed, Rm 90, Thein Gyi Market,",Yangon Region,Apparel
" 095021669, 0973043011, 0932213177, 095105187",Sann Sann Win,Mingalar Taung Nyunt,"Rm 25, G Flr, Shwe Mingalar Market,",Yangon Region,Apparel
" 095062561, 095063424, 09259639263",Pyone Tayar Wai,Mingalar Taung Nyunt,"Rm 46, G Flr, Shwe Mingalar Market, Entrance (2),",Yangon Region,Apparel
 095048158,Pyae Sone Tun,Mingalar Taung Nyunt,"Rm 158/G/2, G Flr, Mingalar Mon Market,",Yangon Region,Apparel
" 095181353, 0932261743",Pyae Sone,Mingalar Taung Nyunt,"Rm 111, 1st Flr, Shwe Mingalar Market,",Yangon Region,Apparel
" 01200747 Ext.7184, 01203167, 01203469",Sein Pann Thee,Mingalar Taung Nyunt,"Bldg 18, Rm 004, Sabei St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01221989, 01251782, 01370622 Ext.104, 01382600 Ext.104",Sann Win [Daw],Pabedan,"B Shed, Rm 308, Thein Gyi Market,",Yangon Region,Apparel
" 0973152377, 095407577, 01200747 Ext.3123",Success,Mingalar Taung Nyunt,"Rm F-1~3/A-1/9, 2nd Flr, Yuzana Plaza,",Yangon Region,Apparel
" 018619368, 0973043493, 095159518",Sin Hnit Kaung,Mingalar Taung Nyunt,"Rm 145, 1st Flr, Shwe Mingalar Market,",Yangon Region,Apparel
" 095004616, 01201298, 095154531",Shwe Pyi Tan,Mingalar Taung Nyunt,"53/55,120th St.,Yae Twin Gone Ward",Yangon Region,Apparel
" 01661265, 09254027915, 0973156882, 09451018959",Shwe Pearl,Tarmwe,"180/190, Rm 6, Set Yon Rd. (Mill Rd.), Ma U Gone Ward,",Yangon Region,Apparel
" 095024454, 0973097301",Su Su Maw [Ma],Pabedan,"B Shed, Rm 47, Thein Gyi Market,",Yangon Region,Apparel
" 0930227734, 01370622 Ext.472",Shwe Yamin,Pabedan,"B Shed, Rm 117, Thein Gyi Market,",Yangon Region,Apparel
 09263330062,Shwe Hnin Si,Mayangone,"Bldg A, Rm 138, G Flr, Baho Rd., Muditar Condo,",Yangon Region,Apparel
" 095010775, 01252856",Shwe Sel Family,Dagon,"292/B, Rm 3/7, Shwe Dagon Pagoda Rd., Yaw Min Gyi Ward,",Yangon Region,Apparel
" 01202128, 09798151924",Shwe Pann Thee,Mingalar Taung Nyunt,"Bldg 18, Rm 6, Sabei St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01370622 Ext.454, 01371822 Ext.454, 01375113 [Res], 095075224",Shwe Myittar Moe,Pabedan,"B Shed, Rm 14/19, Thein Gyi Market,",Yangon Region,Apparel
" 095123559, 01201126, 09254843940, 09799866018, 09799866019",Vivo,Mingalar Taung Nyunt,"Bldg 15, Rm 3, Sabei St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 095073934, 095162372",Tin Aung [Ko] + Thidar Aung [Ma],Mingalar Taung Nyunt,"Rm 203/204,1st Flr,Mingalar Market",Yangon Region,Apparel
 095406762,Thuzar Lwin [Daw],Mayangone,"Aung Mingalar St., Near Ye Baw Haung Bus Stop, Ward (4),",Yangon Region,Apparel
" 0973049663, 01370622 Ext.638",Tin Hnin Thu [Daw],Pabedan,"B Shed, Rm 82, Thein Gyi Market,",Yangon Region,Apparel
 098640270,Thet Oo,Hlaing Thar Yar,"Pearl St., Near Thakhin Mya St.,Kala Kyi Su Ward,",Yangon Region,Apparel
" 01252873, 095011593",Tharaphu,Pabedan,"B Shed, Rm 280, Thein Gyi Market,",Yangon Region,Apparel
" 01660714, 01663986",Textile Factory No.[1] Mayangone,Mayangone,"82/A, Kyaik Waing Pagoda Rd., Near Junction 8 Shopping Centre, Ward (6),",Yangon Region,Apparel
" 09788886946, 09971577991, 01290656, 01295853, 018632068, 095104458, 09974711155","Tex Master Export Import & Marketing Co.,Ltd.",Mingalar Taung Nyunt,"21,1st Flr,121th St.,Yae Twin Gone Ward",Yangon Region,Apparel
 09250276275,Victoriours,Pabedan,"Super World 4 Shed, Rm 14/17/18/19, 1st Flr, Bogyoke Aung San Market,",Yangon Region,Apparel
" 095156434, 09251023040, 095100855",Thiri Done,Mingalar Taung Nyunt,"Rm 26, G Flr, Shwe Mingalar Market, Entrance (3),",Yangon Region,Apparel
" 09978602022, 09978602566",Yangon,Mingalar Taung Nyunt,"154, Bo Min Yaung Rd., Corner of 106th St.,Mingalar Taung Nyunt Ward,",Yangon Region,Apparel
" 09795966889, 09783071399, 09792176188",Xiong Cheng,Mingalar Taung Nyunt,"Bldg 9, Rm 5, Sabei St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01205735, 095025228, 01200747 Ext.1005, 01246187 [Res], 095061141",Win [Ko],Mingalar Taung Nyunt,"Rm S-14, G Flr, Yuzana Plaza,",Yangon Region,Apparel
" 01200246, 01202028, 01200747 Ext.7028",Yamone Oo,Mingalar Taung Nyunt,"Bldg 2, Hnin Si St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 0973151348, 095084087, 095020220, 09250028305, 01200747 Ext.3016",Wai Phyo Thar,Mingalar Taung Nyunt,"Rm A-16/C, 2nd Flr, Yuzana Plaza,",Yangon Region,Apparel
" 01647957, 0973077579",Ba Gyan [U],Insein,"429, Lower Mingalardon Rd., Corner of Thitsar St.,Sint Ngu Ward,",Yangon Region,Apparel
" 01251538, 01372344, 01384969, 01240937, 01245173",Hla Myint [U] & Sons,Pabedan,"112/B, 25th St., Upper Middle Block,",Yangon Region,Apparel
" 0949258921, 09974379888, 01382284",Sein Shwe,Pabedan,"117, Rm 3/4, 25th St., Upper Middle Block,",Yangon Region,Apparel
 01370105,Thamar Arziawa,Pabedan,"138/B, 25th St., Upper Middle Block,",Yangon Region,Apparel
" 01243413, 09963098708, 0973190804",Tin Aye [Ko],Pabedan,"136/1/A, 25th St., Upper Middle Block,",Yangon Region,Apparel
" 0949338143, 0973122265, 09975415602, 09254041637",D Wave,Mingalar Taung Nyunt,"Rm 63/39, Taw Win Plaza,",Yangon Region,Apparel
" 095102381, 095036367",Khin Shein [Daw],Mingalar Taung Nyunt,"Rm 617/618,1st Flr,Mingalar Market",Yangon Region,Apparel
 09459016016,Taw Win Yadanar,Mingalar Taung Nyunt,"Rm 161, 1st Flr, Shwe Mingalar Market,",Yangon Region,Apparel
" 0943157727, 09254843145",Thiri May,Mingalar Taung Nyunt,"Rm 22, G Flr, Shwe Mingalar Market, Entrance (2),",Yangon Region,Apparel
,NTC [Natural Textile Centre],Mingalar Taung Nyunt,"Bldg 12, Rm 002, Hnin Si St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01297938, 0943180980, 09978883336",Shu Tine Thar,Mingalar Taung Nyunt,"51, 124th St., Tha Pyay Gone Ward,",Yangon Region,Apparel
" 01245173, 01240937, 01384969, 01382600, 01371822",Hla  Myint [U] & Sons,Pabedan,"112/A, 25th St., Upper Middle Block,",Yangon Region,Apparel
" 01371403, 095020928",Erawan,Pabedan,"Than Phyu Shed, Rm 33/52, Bogyoke Aung San Market,",Yangon Region,Apparel
" 019000247, 019000248, 095174448",Parami Thukha,Tarmwe,"Bldg 20, Rm 6, Hnin Si St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 018619432, 018619440",Tin Aye [Ko],Mingalar Taung Nyunt,"Bldg 4, Rm 2, Sabei St., Yuzana Mingalar City Housing,",Yangon Region,Apparel
" 01240600 Ext.4718, 095113363",Aung Mingalar,Pabedan,"B Shed, Rm 341, Thein Gyi Market,",Yangon Region,Accessories
" 01242775 Ext.2048, 09420012793, 095412658, 01242488 Ext.3018",969 [KKA],Latha,"D Shed, Rm C/202~4, G Flr, Thein Gyi Market,",Yangon Region,Accessories
" 09798989627, 0973113899",Ah Tar [U],South Okkalapa ,"347, Yarza Di Yit 26th St., Ward (7),",Yangon Region,Accessories
 095082716,Lucky 9,Mingalar Taung Nyunt,"Rm 205,1st Flr,Mingalar Market",Yangon Region,Accessories
" 095516777, 095005431, 01370622 Ext.178",Kyi Maung [U],Pabedan,"138, Rm 1/A, 25th St., Upper Middle Block,",Yangon Region,Accessories
" 01240600 Ext.4849, 01370622 Ext.178, 01371822 Ext.178, 095005431, 095156267",Kyi Maung [U],Pabedan,"B Shed, Rm 353, Thein Gyi Market,",Yangon Region,Accessories
" 01254084, 095147040, 095505078",Maung Tun [Ko],Pabedan,"B Shed, Rm 349, Thein Gyi Market,",Yangon Region,Accessories
" 01242775 Ext.2147, 09450005529, 095175649, 0973121615",Hla Moe,Pabedan,"Bldg 4, C Shed, Rm 41, G Flr, Thein Gyi Market,",Yangon Region,Accessories
" 095123972, 095103662, 095034024","Myanmar Textile Alliance Co., Ltd.",Thingangyun,"1, 1st Flr, Mingalar Yeik Thar St.,",Yangon Region,Accessories
" 0973211678, 09793269678",Hla Moe,Thaketa,"Yan Pyay St., Corner of Yan Pyay 17th St.,Yan Pyae Ward (3),",Yangon Region,Accessories
 095135610,Madi Hline,South Dagon,"Wet Ma Soot Wun Htauk St., East Dagon Industrial Zone (2),",Yangon Region,Accessories
" 095119728, 09971825445, 01240600 Ext.4528, 01370622 Ext.528",Hla Thein [U],Pabedan,"B Shed, Rm 328, Thein Gyi Market,",Yangon Region,Accessories
" 01254762, 01370622 Ext.548",Soe Oo [U],Pabedan,"A Shed, Rm 63, Thein Gyi Market,",Yangon Region,Accessories
" 01370622 Ext.405, 095039384, 01377591 [Res]",Soe Myint [U] & Sons,Pabedan,"B Shed, Rm 166, Thein Gyi Market,",Yangon Region,Accessories
 09778283893,"Myanmar Forlong Co.,Ltd.",Hlaing Thar Yar,"47, Twin Thin Tike Wun U Tun Nyo St., Shwe Linban Industrial Zone,",Yangon Region,Accessories
" 01240600 Ext.4274, 09250171721, 098626406",MS,Latha,"D Shed, Rm F/535, Underground, Thein Gyi Market,",Yangon Region,Accessories
" 01240940, 01372537",Pauk Sa [U] & Sons,Pabedan,"C Shed, Thein Gyi Market,",Yangon Region,Accessories
 019190378,Kyi Kyi Win [Daw],Thaketa,"798, Man Pyay 2nd St., Corner of Man Pyay St.,Ward (2-South),",Yangon Region,Accessories
" 095175649, 0973121615",Hla Moe [Ko],Mingalar Taung Nyunt,"30, 87th St., Kan Daw Kalay (West) Ward,",Yangon Region,Accessories
" 01370622 Ext.578, 095192128",Myat Htut [U],Pabedan,"A Shed, Rm 132, Thein Gyi Market,",Yangon Region,Accessories
" 09250026944, 095172655, 09254203404, 09375717, 01240600 Ext.4526",Moe Thein [U],Pabedan,"B Shed, Rm 332, Thein Gyi Market,",Yangon Region,Accessories
" 09421047134, 09263211096",Ni Ni,Pabedan,"3 Shed, Rm 212, New Bogyoke Aung San Market,",Yangon Region,Accessories
" 0973207042, 0932755424",Miba Gone,Pabedan,"A Shed, Rm 267, Thein Gyi Market,",Yangon Region,Accessories
" 0973201962, 01370622 Ext.424, 01376334",Mingalar,Pabedan,"B Shed, Rm 347, Thein Gyi Market,",Yangon Region,Accessories
" 09974411877, 09972802596",Yangon Woolen & Ribben Industrial Limited,Hlaing Thar Yar,"50, Min Ye Kyaw Swar St., Shwe Linban Industrial Zone,",Yangon Region,Accessories
" 01685726, 09250295788, 09250222658, 09250236786","Top Direction Industry Co.,Ltd.",Hlaing Thar Yar,"92, Pyin Si Min Thar Gyi St., Industrial Zone (4),",Yangon Region,Accessories
" 01371822 Ext.691, 095179053",Tin Win [U],Pabedan,"B Shed, Rm 411, Thein Gyi Market,",Yangon Region,Accessories
 01537090,"Top Direction Industry Co.,Ltd.",Bahan,"7th Flr, U Wisara Rd., SBC Tower,",Yangon Region,Accessories
 095173246,Win Lwin [U],Thaketa,"428, Nawarat 2nd St., Ward (8),",Yangon Region,Accessories
" 09795811215, 01371800 Ext.409, 095504152",Thitsar Lwin [Thein Kabar],Pabedan,"Bldg 1/2, C Shed, Rm 25, G Flr, Thein Gyi Market,",Yangon Region,Accessories
" 01644502, 098633829, 095138518, 0943119135, 095028188","ATC [Aung Tine Chit Co.,Ltd.]",Insein,"98 Shed, Rm 2/3, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region,Service
" 01378406, 01380037","Trust Link Co.,Ltd.",Kyauktada,"190/194, Rm 5/A, 5th Flr, Pansoedan St., Middle Block,",Yangon Region,Service
" 095081675, 01379400, 0973182921","Asian Fortune Co.,Ltd.",Kyauktada,"227, 38th St., Upper Block,",Yangon Region,Service
" 01387508, 01377501, 01387512","Basin Int'l Co.,Ltd.",Dagon,"Rm 503, 5th Flr, La Pyayt Wun Plaza,",Yangon Region,Service
 01559492,See Sar Soe San Group Of Companies,Bahan,"7, Aye Yeik Thar 1st St., Saya San Ward,",Yangon Region,Service
,"Aung Import & Export Co.,Ltd.",Insein,"105 Shed,Rm 4,Shwe Wah St.,Sawbwargyi Gone Warehouses",Yangon Region,Service
